AreaCode,year,DT,MillionDomesticTourists,DR,perGDP,GDP,IP,Population,CPI,PerCapitaDisposableIncome,SoftwareEnterprises,RN,CN,PN,PT,NT,PRN,NRN,PCN,NCN,PPN,NPN
210000,2019,63876,638.76,6102.7,57067,24909.5,76.47182605,4351.7,102.4,31820,,4580,4955,12907,555,580,2517,2063,2619,2336,6742,6165
210000,2020,30150,301.5,2712.2,58872,25115,77.67802585,,102.4,,,26866,46831,445793,397,506,1379,25487,1096,45735,4389,441404
220000,2011,7542,76.41,904.29,28146,10568.83,35.13481074,2749,105.2,13003.17163,816,197,107,0,83,16,148,49,95,12,0,0
220000,2012,8854.28,89.72,1146.89,31558,11939.24,38.61256545,2750,102.5,14833.71804,844,343,270,7,81,10,320,23,254,16,5,2
220000,2013,10241.93,102.41,1441.64,34273,13046.4,42.27123375,2751,102.9,15998.12,908,1298,1081,123,181,119,1046,252,915,166,91,32
220000,2014,12003.55,120.0355,1766.55,36218,13803.14,45.16091528,2752,102,17520.39,956,21212,773,630,121,35,20795,417,751,22,584,46
220000,2015,13982.8,139.828,2220.73,36391,14063.13,47.68788227,2753.32,101.7,18683.7,983,613,323,860,43,2,612,1,321,2,852,8
220000,2016,16416.82,164.1682,2845.94,38011,14886.23,51.29893889,2733,101.6,19967,900,101,190,232,42,24,76,25,132,58,130,102
220000,2017,19093,190.93,3456.5,40077,14944.53,51.99177164,2717,101.6,21368,914,850,442,1148,148,172,617,233,288,154,629,519
220000,2018,22012.64,220.1264,4165.6,41516,15074.62,55,2704,102.1,22798,941,1282,1867,4419,358,391,1028,254,1418,449,3582,837
220000,2019,24696,246.96,4877.89,43475,11726.8,68.89705882,2690.73,103,24563,,1038,1282,3180,917,494,913,125,1027,255,2252,928
220000,2020,15321,153.21,,50800,12311.32,68.82867862,,102.3,,,31383,43860,402326,1729,6467,2526,28857,4535,39325,19546,382780
230000,2011,20237,202.37,1031.9,25915,12582,31.45539906,3834,105.8,12169.86354,387,135,23,4,8,40,9,126,14,9,0,4
230000,2017,16304.17,163.0417,1877,32454,15902.68,49,3788.7,101.3,21206,495,0,0,1,1,0,0,0,0,0,1,0
230000,2018,18100,181,2207.8,33977,16361.62,52,3773,102,22726,111,6,1,18,36,12,6,0,1,0,15,3
230000,2019,22000,220,2640.2,36001,13612.7,67.00768049,3751.3,102.8,24254,,3,1,11,20,8,2,1,0,1,7,4
230000,2020,14000,140,1629,42635,13698.5,67.09239987,,102.3,,,145683,255010,2473841,6,170,2994,142689,7663,247347,50499,2423342
310000,2011,23079,8.7,2786.54,86061,19195.69,64.96383325,2347,105.2,34072.70209,1112,6639,1888,0,69,47,99,6540,48,1840,0,0
310000,2012,25094,9.25,3226.0869,90127,20181.72,67.46680222,2380,102.8,37790.95729,1740,1356,926,1,22,23,1329,27,905,21,0,1
